LGAs,Local Government Area,Output Year,Police Region,Police Regions,Selected Year,Year,Year Ending,Year ending,Criminial Incident Rate,Incidents Recorded,"Rate per 100,000 population",레코드 수
참, Strathbogie,2015,2 Eastern,참,거짓,2015,참,June,"3,145.00",320,"3,145.00",1
참, Maroondah,2015,2 Eastern,참,거짓,2015,참,June,"5,059.10","5,718","5,059.10",1
참, Moonee Valley,2015,1 North West Metro,참,거짓,2015,참,June,"5,475.30","6,583","5,475.30",1
참, Hepburn,2015,4 Western,참,거짓,2015,참,June,"3,534.60",542,"3,534.60",1
참, Macedon Ranges,2015,4 Western,참,거짓,2015,참,June,"3,165.60","1,468","3,165.60",1
참, Colac-Otway,2015,4 Western,참,거짓,2015,참,June,"4,908.10","1,042","4,908.10",1
참, Northern Grampians,2015,4 Western,참,거짓,2015,참,June,"6,638.60",773,"6,638.60",1
참, Melbourne,2015,1 North West Metro,참,거짓,2015,참,June,"17,802.80","24,367","17,802.80",1
참, Greater Bendigo,2015,4 Western,참,거짓,2015,참,June,"5,544.60","6,094","5,544.60",1
참, West Wimmera,2015,4 Western,참,거짓,2015,참,June,"2,189.20",87,"2,189.20",1
참, Boroondara,2015,2 Eastern,참,거짓,2015,참,June,"3,170.80","5,541","3,170.80",1
참, Bayside,2016,3 Southern Metro,참,거짓,2016,참,June,"3,857.70","3,970","3,857.70",1
참, Maroondah,2016,2 Eastern,참,거짓,2016,참,June,"5,530.50","6,349","5,530.50",1
참, Surf Coast,2016,4 Western,참,거짓,2016,참,June,"3,768.30","1,148","3,768.30",1
참, Cardinia,2016,3 Southern Metro,참,거짓,2016,참,June,"5,214.60","5,088","5,214.60",1
참, Towong,2016,2 Eastern,참,거짓,2016,참,June,"3,175.70",192,"3,175.70",1
참, Gannawarra,2016,4 Western,참,거짓,2016,참,June,"4,163.90",440,"4,163.90",1
참, Colac-Otway,2016,4 Western,참,거짓,2016,참,June,"5,804.70","1,240","5,804.70",1
참, Wodonga,2016,2 Eastern,참,거짓,2016,참,June,"6,379.10","2,558","6,379.10",1
참, Wyndham,2016,1 North West Metro,참,거짓,2016,참,June,"5,447.40","12,366","5,447.40",1
참, Swan Hill,2016,4 Western,참,거짓,2016,참,June,"7,982.40","1,668","7,982.40",1
참, Manningham,2016,2 Eastern,참,거짓,2016,참,June,"2,810.60","3,445","2,810.60",1
참, Moreland,2016,1 North West Metro,참,거짓,2016,참,June,"6,852.20","11,806","6,852.20",1
